id,category,superclass,marker,affirmative,negated
78,Do-support auxiliary,Particle,didn't,The teachers needed any help.,The teachers didn't need any help.
79,Copula,Particle,is not,The printer is consistent.,The printer is not consistent.
80,Double negation / negative concord,Double negation,not inappropriate,The parking lot is appropriate.,The parking lot is not inappropriate.
81,Affixial negation,Affixial,inconvenient,The lobby is convenient.,The lobby is inconvenient.
82,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people took part.,Merely the new hire took part.
83,Modals,Particle,shouldn't,The coaches should accept the offer.,The coaches shouldn't accept the offer.
84,Approximate negators,Scalar / restrictive,seldom,The farmers often arrive on time.,The farmers seldom arrive on time.
85,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The lawyer still volunteers on weekends.,The lawyer has ceased volunteering on weekends.
86,Inherent negative verbs/adjectives,Lexical negation,rejected,The workers approved the design.,The workers rejected the design.
87,Affixial negation,Affixial,unknown,The printer is known.,The printer is unknown.
88,Copula,Particle,isn't,The office is visible.,The office isn't visible.
89,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The coach still practices the piano.,The coach has ceased practicing the piano.
90,Copula,Particle,isn't,The memo is visible.,The memo isn't visible.
91,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received an invitation.,Only the representative received an invitation.
92,Negative imperatives,Clausal / discourse,don't,Please skip the tutorial before the exam.,Don't skip the tutorial before the exam.
93,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The scientist still practices the piano.,The scientist has ceased practicing the piano.
94,Restrictive/exclusive particles,Scalar / restrictive,only,Several people qualified for the finals.,Only the mentor qualified for the finals.
95,Partial negation,Negative quantifiers,not every,Every doctor is prepared.,Not every doctor is prepared.
96,Prepositional negation,Lexical negation,without,The design has flaws.,The design is without flaws.
97,Negative imperatives,Clausal / discourse,don't,Please feed the animals without a guide.,Don't feed the animals without a guide.
98,Aspectual/presuppositional negation,Clausal / discourse,no longer,The editor still works late.,The editor no longer works late.
99,Exceptors,Negative quantifiers,other than,Every shipment is accounted for.,Every shipment is accounted for other than the duplicate entry.
100,Exceptors,Negative quantifiers,but for,Every witness is present.,Every witness is present but for the deputy head.
101,Prepositional negation,Lexical negation,without,The report has an appendix.,The report is without an appendix.
102,Sentential negative quantifiers,Negative quantifiers,nothing,Something affected the results yesterday.,Nothing affected the results yesterday.
103,Double negation / negative concord,Double negation,not irrelevant,The policy is relevant.,The policy is not irrelevant.
104,Negative imperatives,Clausal / discourse,never,Always remove the label in the workshop.,Never remove the label in the workshop.
105,Copula,Particle,isn't,The database is visible.,The database isn't visible.
106,Conditional negation,Clausal / discourse,unless,"If you notify the manager, the file will be deleted.","Unless you notify the manager, the file will be deleted."
107,Affixial negation,Affixial,inconvenient,The budget is convenient.,The budget is inconvenient.
108,Exceptors,Negative quantifiers,other than,Everyone is present.,Everyone is present other than the manager.
109,Double negation / negative concord,Double negation,not insensitive,The witness is sensitive.,The witness is not insensitive.
110,Affixial negation,Affixial,irrelevant,The contract is relevant.,The contract is irrelevant.
111,Sentential negative quantifiers,Negative quantifiers,no,A car is on the shelf.,No car is on the shelf.
112,Do-support auxiliary,Particle,didn't,The algorithm passed the inspection.,The algorithm didn't pass the inspection.
113,Conditional negation,Clausal / discourse,unless,"If you approve the request, the order will be delayed.","Unless you approve the request, the order will be delayed."
114,Inherent negative verbs/adjectives,Lexical negation,abandoned,The chef completed the task.,The chef abandoned the task.
115,Exceptors,Negative quantifiers,other than,Every batch is accounted for.,Every batch is accounted for other than the older version.
116,Do-support auxiliary,Particle,did not,The volunteers followed the instructions.,The volunteers did not follow the instructions.
117,Copula,Particle,aren't,The coaches are reliable.,The coaches aren't reliable.
118,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The soldier still uses public transport.,The soldier has stopped using public transport.
119,Exceptors,Negative quantifiers,besides,Every witness is present.,Every witness is present besides the senior officer.
120,Double negation / negative concord,Double negation,not inadequate,The policy is adequate.,The policy is not inadequate.
121,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The visitors are weak.,"The visitors are not weak, the visitors are frail."
122,Negative imperatives,Clausal / discourse,don't,Please disconnect the cable in the workshop.,Don't disconnect the cable in the workshop.
123,Partial negation,Negative quantifiers,not every,Every server is damaged.,Not every server is damaged.
124,Correlative negation,Negative quantifiers,neither...nor,Both the server and the database are connected.,Neither the server nor the database is connected.
125,Affixial negation,Affixial,irresponsible,The actor is responsible.,The actor is irresponsible.
126,Neg-raising,Clausal / discourse,don't suppose,I suppose that the system is secure.,I don't suppose the system is secure.
127,Partial negation,Negative quantifiers,not every,Every proposal is documented.,Not every proposal is documented.
128,Modals,Particle,wouldn't,The officers would complete the assignment.,The officers wouldn't complete the assignment.
129,Aspectual/presuppositional negation,Clausal / discourse,no longer,The scientist still lives downtown.,The scientist no longer lives downtown.
130,Modals,Particle,shouldn't,The student should accept the offer.,The student shouldn't accept the offer.
131,Affixial negation,Affixial,irresponsible,The technician is responsible.,The technician is irresponsible.
132,Double negation / negative concord,Double negation,not insecure,The garage is secure.,The garage is not insecure.
133,Do-support auxiliary,Particle,didn't,The interns accepted the offer.,The interns didn't accept the offer.
134,Prepositional negation,Lexical negation,free of,The contract has a penalty clause.,The contract is free of a penalty clause.
135,Negative imperatives,Clausal / discourse,don't,Please open the door during the tour.,Don't open the door during the tour.
136,Conditional negation,Clausal / discourse,unless,"If you return the item, the project will be paused.","Unless you return the item, the project will be paused."
137,Negative imperatives,Clausal / discourse,don't,Please block the exit in the corridor.,Don't block the exit in the corridor.
138,Double negation / negative concord,Double negation,not ineffective,The cooperative is effective.,The cooperative is not ineffective.
139,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people received training.,Merely the recruiter received training.
140,Affixial negation,Affixial,inappropriate,The department is appropriate.,The department is inappropriate.
141,Partial negation,Negative quantifiers,not every,Every server is tested.,Not every server is tested.
142,Affixial negation,Affixial,dishonest,The workers are honest.,The workers are dishonest.
143,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The kitchen is clean.,"The kitchen is not clean, the kitchen is spotless."
144,Conditional negation,Clausal / discourse,unless,"If you fix the bug, the ticket will be closed.","Unless you fix the bug, the ticket will be closed."
145,Negative imperatives,Clausal / discourse,don't,Please open the door in the corridor.,Don't open the door in the corridor.
146,Prepositional negation,Lexical negation,minus,The toolset has updates.,The toolset is minus updates.
147,Conditional negation,Clausal / discourse,unless,"If you finish the report, the file will be deleted.","Unless you finish the report, the file will be deleted."
148,Modals,Particle,won't,The manager will know the answer.,The manager won't know the answer.
149,Inherent negative verbs/adjectives,Lexical negation,dropped,The participants finished the project.,The participants dropped the project.
150,Negative imperatives,Clausal / discourse,never,Always feed the animals during the tour.,Never feed the animals during the tour.
151,Conditional negation,Clausal / discourse,unless,"If you upload the document, access will be revoked.","Unless you upload the document, access will be revoked."
152,Negative imperatives,Clausal / discourse,no + gerund,Leaving the door open on this floor is allowed.,No leaving the door open on this floor.
153,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people received training.,The trainee alone received training.
154,Copula,Particle,isn't,The camera is audible.,The camera isn't audible.
155,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The pilot is smart.,"The pilot is not smart, the pilot is brilliant."
156,Copula,Particle,are not,The applicants are consistent.,The applicants are not consistent.
157,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people received feedback.,Merely the assistant received feedback.
158,Sentential negative quantifiers,Negative quantifiers,nothing,Something interrupted the meeting by mistake.,Nothing interrupted the meeting by mistake.
159,Approximate negators,Scalar / restrictive,hardly ever,The patients often agree with the decision.,The patients hardly ever agree with the decision.
160,Sentential negative quantifiers,Negative quantifiers,no,A teacher is in the room.,No teacher is in the room.
161,Double negation / negative concord,Double negation,not inappropriate,The auditorium is appropriate.,The auditorium is not inappropriate.
162,Inherent negative verbs/adjectives,Lexical negation,lacked,The athletes secured funding.,The athletes lacked funding.
163,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The auditor is tired.,"The auditor is not tired, the auditor is exhausted."
164,Aspectual/presuppositional negation,Clausal / discourse,no longer,The tourist still hosts the podcast.,The tourist no longer hosts the podcast.
165,Prepositional negation,Lexical negation,free of,The recipe has a serving size.,The recipe is free of a serving size.
166,Inherent negative verbs/adjectives,Lexical negation,dismissed,The foundation recognized the contribution.,The foundation dismissed the contribution.
167,Conditional negation,Clausal / discourse,unless,"If you call support, I will call the police.","Unless you call support, I will call the police."
168,Negative imperatives,Clausal / discourse,never,Always block the exit near the entrance.,Never block the exit near the entrance.
169,Sentential negative quantifiers,Negative quantifiers,nothing,Something required approval after the call.,Nothing required approval after the call.
170,Partial negation,Negative quantifiers,not all,All batches are expired.,Not all batches are expired.
171,Affixial negation,Affixial,nonfunctional,The database is functional.,The database is nonfunctional.
172,Correlative negation,Negative quantifiers,neither...nor,Both the scientist and the analyst are available.,Neither the scientist nor the analyst is available.
173,Copula,Particle,aren't,The students are flexible.,The students aren't flexible.
174,Neg-raising,Clausal / discourse,don't think,We think that the launch will happen.,We don't think the launch will happen.
175,Modals,Particle,won't,The managers will recognize the symptoms.,The managers won't recognize the symptoms.
176,Inherent negative verbs/adjectives,Lexical negation,lacked,The students secured funding.,The students lacked funding.
177,Inherent negative verbs/adjectives,Lexical negation,concealed,The cooperative reported the incident.,The cooperative concealed the incident.
178,Modals,Particle,must not,The coordinator must handle the situation.,The coordinator must not handle the situation.
179,Partial negation,Negative quantifiers,not all,All batches are current.,Not all batches are current.
180,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The witnesses are interested.,"The witnesses are not interested, the witnesses are fascinated."
181,Partial negation,Negative quantifiers,not every,Every budget is tested.,Not every budget is tested.
182,Do-support auxiliary,Particle,didn't,The consultant worked on weekends.,The consultant didn't work on weekends.
183,Do-support auxiliary,Particle,did not,The workers knew the answer.,The workers did not know the answer.
184,Neg-raising,Clausal / discourse,doesn't suppose,He supposes that the update is necessary.,He doesn't suppose the update is necessary.
185,Negative imperatives,Clausal / discourse,never,Always modify the settings during the demo.,Never modify the settings during the demo.
186,Aspectual/presuppositional negation,Clausal / discourse,no longer,The teacher still practices the piano.,The teacher no longer practices the piano.
187,Double negation / negative concord,Double negation,not incorrect,The manual is correct.,The manual is not incorrect.
188,Exceptors,Negative quantifiers,besides,Every engineer is present.,Every engineer is present besides the backup coordinator.
189,Restrictive/exclusive particles,Scalar / restrictive,only,Several people met the requirements.,Only the volunteer met the requirements.
190,Inherent negative verbs/adjectives,Lexical negation,missed,The vendors respected the deadline.,The vendors missed the deadline.
191,Partial negation,Negative quantifiers,not every,Every algorithm is expired.,Not every algorithm is expired.
192,Approximate negators,Scalar / restrictive,scarcely ever,The participants often follow the instructions.,The participants scarcely ever follow the instructions.
193,Sentential negative quantifiers,Negative quantifiers,none,Some of the tenants received a refund.,None of the tenants received a refund.
194,Sentential negative quantifiers,Negative quantifiers,no one,Somebody believed the rumor last week.,No one believed the rumor last week.
195,Approximate negators,Scalar / restrictive,few,Many students reported the bug.,Few students reported the bug.
196,Conditional negation,Clausal / discourse,unless,"If you call support, the project will be paused.","Unless you call support, the project will be paused."
197,Partial negation,Negative quantifiers,not every,Every memo is calibrated.,Not every memo is calibrated.
198,Neg-raising,Clausal / discourse,doesn't believe,He believes that the policy will change.,He doesn't believe the policy will change.
199,Sentential negative quantifiers,Negative quantifiers,no one,Somebody needed any help this morning.,No one needed any help this morning.
200,Conditional negation,Clausal / discourse,unless,"If you submit the form, the fine will increase.","Unless you submit the form, the fine will increase."
201,Affixial negation,Affixial,uncommon,The plan is common.,The plan is uncommon.
202,Do-support auxiliary,Particle,didn't,The farmer recalled the details.,The farmer didn't recall the details.
203,Copula,Particle,isn't,The hospital is safe.,The hospital isn't safe.
204,Partial negation,Negative quantifiers,not every,Every chef is trained.,Not every chef is trained.
205,Negative imperatives,Clausal / discourse,no + gerund,Using a flash drive during the demo is allowed.,No using a flash drive during the demo.
206,Conditional negation,Clausal / discourse,unless,"If you register the device, the contract will end.","Unless you register the device, the contract will end."
207,Correlative negation,Negative quantifiers,neither...nor,Both the client and the vendor are informed.,Neither the client nor the vendor is informed.
208,Do-support auxiliary,Particle,didn't,The drivers trusted the plan.,The drivers didn't trust the plan.
209,Restrictive/exclusive particles,Scalar / restrictive,only,Several people completed the survey.,Only the assistant completed the survey.
210,Modals,Particle,mustn't,The coaches must want more coffee.,The coaches mustn't want more coffee.
211,Partial negation,Negative quantifiers,not every,Every algorithm is registered.,Not every algorithm is registered.
212,Exceptors,Negative quantifiers,except,Every visitor is present.,Every visitor is present except the late arrival.
213,Correlative negation,Negative quantifiers,neither...nor,Both the pilot and the copilot are present.,Neither the pilot nor the copilot is present.
214,Neg-raising,Clausal / discourse,doesn't think,She thinks that the report is complete.,She doesn't think the report is complete.
215,Sentential negative quantifiers,Negative quantifiers,nowhere,The license can be found somewhere at the desk.,The license can be found nowhere at the desk.
216,Do-support auxiliary,Particle,didn't,The coaches enjoyed the concert.,The coaches didn't enjoy the concert.
217,Prepositional negation,Lexical negation,free of,The trip has delays.,The trip is free of delays.
218,Prepositional negation,Lexical negation,lacking,The shipment has damage.,The shipment is lacking damage.
219,Approximate negators,Scalar / restrictive,seldom,The coaches often eat vegetables.,The coaches seldom eat vegetables.
220,Correlative negation,Negative quantifiers,neither...nor,Both the drone and the robot are connected.,Neither the drone nor the robot is connected.
221,Sentential negative quantifiers,Negative quantifiers,nothing,Something interrupted the meeting in the report.,Nothing interrupted the meeting in the report.
222,Approximate negators,Scalar / restrictive,scarcely ever,The professors often trust the plan.,The professors scarcely ever trust the plan.
223,Modals,Particle,should not,The actors should want more coffee.,The actors should not want more coffee.
224,Neg-raising,Clausal / discourse,don't believe,I believe that the policy will change.,I don't believe the policy will change.
225,Negative imperatives,Clausal / discourse,never,Always block the exit at the venue.,Never block the exit at the venue.
226,Affixial negation,Affixial,unlikely,The ministry is likely.,The ministry is unlikely.
227,Sentential negative quantifiers,Negative quantifiers,no one,Somebody reviewed the contract after the review.,No one reviewed the contract after the review.
228,Affixial negation,Affixial,uncommon,The auditorium is common.,The auditorium is uncommon.
229,Partial negation,Negative quantifiers,not all,All candidates are prepared.,Not all candidates are prepared.
230,Affixial negation,Affixial,ineffective,The ministry is effective.,The ministry is ineffective.
231,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The intern still leads the team.,The intern has stopped leading the team.
232,Inherent negative verbs/adjectives,Lexical negation,resisted,The hospital welcomed the change.,The hospital resisted the change.
233,Modals,Particle,cannot,The nurses can follow the instructions.,The nurses cannot follow the instructions.
234,Conditional negation,Clausal / discourse,unless,"If you cancel the subscription, the request will be denied.","Unless you cancel the subscription, the request will be denied."
235,Affixial negation,Affixial,dissatisfied,The athletes are satisfied.,The athletes are dissatisfied.
236,Prepositional negation,Lexical negation,free of,The report has references.,The report is free of references.
237,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people responded to the email.,The observer alone responded to the email.
238,Negative imperatives,Clausal / discourse,never,Always open the door during the ceremony.,Never open the door during the ceremony.
239,Partial negation,Negative quantifiers,not every,Every professor is insured.,Not every professor is insured.
240,Sentential negative quantifiers,Negative quantifiers,none,Some of the samples were labeled correctly.,None of the samples were labeled correctly.
241,Modals,Particle,shouldn't,The volunteers should follow the instructions.,The volunteers shouldn't follow the instructions.
242,Double negation / negative concord,Double negation,not impossible,The policy is possible.,The policy is not impossible.
243,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The driver still smokes.,The driver has stopped smoking.
244,Exceptors,Negative quantifiers,other than,Every report is accounted for.,Every report is accounted for other than the final draft.
245,Neg-raising,Clausal / discourse,doesn't suppose,He supposes that the deadline will move.,He doesn't suppose the deadline will move.
246,Sentential negative quantifiers,Negative quantifiers,no,A car is in the building.,No car is in the building.
247,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The professor is interested.,"The professor is not interested, the professor is fascinated."
248,Neg-raising,Clausal / discourse,don't believe,I believe that the offer is fair.,I don't believe the offer is fair.
249,Double negation / negative concord,Double negation,not irrelevant,The firm is relevant.,The firm is not irrelevant.
250,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The farmers are sad.,"The farmers are not sad, the farmers are devastated."
251,Exceptors,Negative quantifiers,except,Every teacher is present.,Every teacher is present except the substitute.
252,Correlative negation,Negative quantifiers,neither...nor,Both the author and the editor are certified.,Neither the author nor the editor is certified.
253,Copula,Particle,isn't,The soldier is consistent.,The soldier isn't consistent.
254,Approximate negators,Scalar / restrictive,scarcely ever,The vendors often remember the address.,The vendors scarcely ever remember the address.
255,Do-support auxiliary,Particle,didn't,The customer arrived on time.,The customer didn't arrive on time.
256,Neg-raising,Clausal / discourse,doesn't suppose,He supposes that the system is secure.,He doesn't suppose the system is secure.
257,Neg-raising,Clausal / discourse,don't suppose,I suppose that the meeting will happen.,I don't suppose the meeting will happen.
258,Conditional negation,Clausal / discourse,unless,"If you accept the terms, the file will be deleted.","Unless you accept the terms, the file will be deleted."
259,Copula,Particle,is not,The plan is flexible.,The plan is not flexible.
260,Prepositional negation,Lexical negation,free of,The design has documentation.,The design is free of documentation.
261,Sentential negative quantifiers,Negative quantifiers,none,Some of the employees answered correctly.,None of the employees answered correctly.
262,Partial negation,Negative quantifiers,not every,Every supervisor is punctual.,Not every supervisor is punctual.
263,Conditional negation,Clausal / discourse,unless,"If you schedule the appointment, the account will be suspended.","Unless you schedule the appointment, the account will be suspended."
264,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The technician still visits the clinic.,The technician has stopped visiting the clinic.
265,Affixial negation,Affixial,uncomfortable,The contestants are comfortable.,The contestants are uncomfortable.
266,Do-support auxiliary,Particle,didn't,The candidates accepted the offer.,The candidates didn't accept the offer.
267,Copula,Particle,aren't,The drivers are reliable.,The drivers aren't reliable.
268,Approximate negators,Scalar / restrictive,seldom,The drivers often believe the rumor.,The drivers seldom believe the rumor.
269,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody liked the proposal before noon.,Nobody liked the proposal before noon.
270,Approximate negators,Scalar / restrictive,seldom,The vendors often arrive on time.,The vendors seldom arrive on time.
271,Do-support auxiliary,Particle,didn't,The technician handled the situation.,The technician didn't handle the situation.
272,Prepositional negation,Lexical negation,free of,The plan has a budget.,The plan is free of a budget.
273,Affixial negation,Affixial,unhappy,The soldier is happy.,The soldier is unhappy.
274,Do-support auxiliary,Particle,didn't,The supervisor liked the proposal.,The supervisor didn't like the proposal.
275,Copula,Particle,is not,The platform is accurate.,The platform is not accurate.
276,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody followed the instructions this morning.,Nobody followed the instructions this morning.
277,Copula,Particle,is not,The department is transparent.,The department is not transparent.
278,Affixial negation,Affixial,dishonest,The nurses are honest.,The nurses are dishonest.
279,Modals,Particle,must not,The lawyer must eat vegetables.,The lawyer must not eat vegetables.
280,Aspectual/presuppositional negation,Clausal / discourse,no longer,The consultant still commutes by train.,The consultant no longer commutes by train.
281,Inherent negative verbs/adjectives,Lexical negation,withheld,The technician provided evidence.,The technician withheld evidence.
282,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people attended the ceremony.,The new hire alone attended the ceremony.
283,Prepositional negation,Lexical negation,lacking,The room has natural light.,The room is lacking natural light.
284,Do-support auxiliary,Particle,did not,The witness respected the rules.,The witness did not respect the rules.
285,Negative imperatives,Clausal / discourse,no + gerund,Climbing the fence during the tour is allowed.,No climbing the fence during the tour.
286,Affixial negation,Affixial,dishonest,The referee is honest.,The referee is dishonest.
287,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The antenna is warm.,"The antenna is not warm, the antenna is hot."
288,Prepositional negation,Lexical negation,devoid of,The machine has a manual.,The machine is devoid of a manual.
289,Do-support auxiliary,Particle,didn't,The drivers reviewed the contract.,The drivers didn't review the contract.
290,Partial negation,Negative quantifiers,not every,Every scanner is functional.,Not every scanner is functional.
291,Exceptors,Negative quantifiers,but for,Every driver is present.,Every driver is present but for the disqualified entrant.
292,Conditional negation,Clausal / discourse,unless,"If you call support, the ticket will be closed.","Unless you call support, the ticket will be closed."
293,Sentential negative quantifiers,Negative quantifiers,nowhere,The receipt can be found somewhere near the door.,The receipt can be found nowhere near the door.
294,Exceptors,Negative quantifiers,except,Every officer is present.,Every officer is present except the extra guest.
295,Do-support auxiliary,Particle,did not,The employees needed any help.,The employees did not need any help.
296,Inherent negative verbs/adjectives,Lexical negation,abandoned,The scientist completed the task.,The scientist abandoned the task.
297,Affixial negation,Affixial,incapable,The officers are capable.,The officers are incapable.
298,Negative imperatives,Clausal / discourse,no + gerund,Sharing confidential data on the premises is allowed.,No sharing confidential data on the premises.
299,Approximate negators,Scalar / restrictive,scarcely ever,The applicants often need any help.,The applicants scarcely ever need any help.
300,Inherent negative verbs/adjectives,Lexical negation,was,The coach was present at the meeting.,The coach was absent from the meeting.
